frame,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,kp_0_conf,kp_1_conf,kp_2_conf,kp_3_conf,kp_4_conf,kp_5_conf,kp_6_conf,kp_7_conf,kp_8_conf,kp_9_conf,kp_10_conf,kp_11_conf,kp_12_conf,kp_13_conf,kp_14_conf,kp_15_conf,kp_16_conf
20,630.6755,639.9229,622.60706,660.18616,608.1866,700.15283,578.5183,731.1864,557.60895,686.17596,588.54315,678.23444,596.332,688.90314,579.021,683.4939,592.0556,376.305,367.58594,367.31,353.85736,352.79938,372.9242,370.44037,457.48584,452.72754,462.102,458.63037,494.50195,493.25696,499.36688,498.5381,499.10626,498.08496,0.8525547,0.86223257,0.7503128,0.5286074,0.2544638,0.9033611,0.82214284,0.7788049,0.5020364,0.5832124,0.35326248,0.39413157,0.31518608,0.021188378,0.014119118,0.005473852,0.004021287
21,631.4431,641.4978,622.40216,661.7424,605.8791,699.5687,576.0297,729.9391,556.1935,686.0423,588.41455,678.18787,594.3987,694.16705,578.91187,690.2793,591.9192,378.65808,369.325,368.8269,354.7854,353.17822,373.758,371.2862,457.81445,453.81598,462.85938,459.41553,495.58527,494.7375,503.01166,502.56177,500.21063,499.64734,0.8772609,0.880898,0.8046304,0.5268323,0.31747258,0.91431,0.84420884,0.7896249,0.52704334,0.59643036,0.3713259,0.40760407,0.32830504,0.0206092,0.013892412,0.0051368177,0.0038026571
22,628.12305,635.28326,622.6689,655.9768,616.47577,699.2127,595.57294,731.4529,576.13043,689.7011,595.14606,675.91364,609.07776,664.09937,591.84607,649.87317,608.04144,373.9146,365.81708,366.0808,352.52734,352.74652,372.2959,369.67706,458.50763,450.84967,463.95593,458.0929,494.08685,491.37897,492.42108,489.94452,496.41357,494.36108,0.8135444,0.8380984,0.6081793,0.6198156,0.15281996,0.8865013,0.7924682,0.72929937,0.45095336,0.52728575,0.32016194,0.34319127,0.27796882,0.021327674,0.014659554,0.0060293376,0.0045597255
23,627.2668,630.9277,625.60596,646.3351,631.60767,678.5262,632.5492,704.49194,637.8229,681.84515,639.8536,660.48724,632.86346,635.30005,618.52954,620.6806,628.197,371.78796,364.0786,364.45496,351.3797,351.95502,371.57892,370.47424,458.42676,453.95325,463.15942,459.93835,493.5069,489.8839,484.79895,480.95142,491.55902,488.70795,0.7104959,0.72145593,0.35638595,0.70258665,0.1110791,0.8856803,0.78182757,0.6955172,0.42143005,0.49189207,0.30722013,0.31446165,0.25605708,0.023780555,0.017185688,0.006950617,0.005527109
24,627.99384,632.2391,625.4358,648.48145,628.8412,682.4575,626.6291,709.1903,628.3587,681.59607,632.0409,662.76434,628.6621,638.1975,614.8409,622.4225,626.4998,372.42395,364.5724,365.01166,351.7249,352.4925,371.90833,370.55896,458.2882,453.43347,462.20374,461.46124,492.76105,489.13464,485.52008,481.52722,492.4842,489.19836,0.7372243,0.74489903,0.4146726,0.67960954,0.12560073,0.8857219,0.7901746,0.69934535,0.44240764,0.4999768,0.32258993,0.31866252,0.26321888,0.02324137,0.017015427,0.0067067444,0.005367279
25,627.79266,632.524,624.74585,649.8436,626.5758,686.6377,621.0054,714.7295,618.7921,682.5565,624.7658,666.2778,625.61707,642.26746,610.65857,625.8718,623.86646,372.2021,364.37024,364.82892,351.544,352.37,371.51996,369.98877,457.2284,451.7254,462.3629,461.10626,492.55542,488.98474,486.97443,483.0877,494.09924,490.8026,0.75328743,0.77216744,0.4375883,0.6856859,0.11999217,0.8909695,0.78821677,0.7257477,0.44139382,0.52839273,0.32454738,0.3365671,0.27166182,0.023879439,0.016656011,0.0066645145,0.005141467
26,625.7171,625.3224,629.16925,632.72845,650.88776,637.66516,675.3953,644.0068,697.42053,644.40674,685.51654,633.8983,661.6399,607.313,645.85284,605.04553,646.7512,371.30188,364.20105,364.5216,351.98853,352.16724,373.37775,371.2082,459.1532,455.6181,459.59906,466.61804,493.09723,488.9911,481.19495,476.1438,492.1358,487.5963,0.40583053,0.32344094,0.12971017,0.7078359,0.18670541,0.88174766,0.86391395,0.55092704,0.5454885,0.3059668,0.32163346,0.30723226,0.3179038,0.023919046,0.02494371,0.00709489,0.007424444
27,627.321,621.3594,634.955,611.5669,665.63275,587.046,701.9436,567.4478,723.2283,590.8255,697.3831,604.2092,684.55493,578.98206,665.9876,593.6319,663.7838,367.0935,361.61462,361.04895,351.16687,348.8471,375.29333,369.6953,460.4032,451.21826,460.9292,463.24,495.6217,492.0382,477.68323,473.38904,493.2107,489.25684,0.07607305,0.048943013,0.02421844,0.8018162,0.48105893,0.9346578,0.9375936,0.5389357,0.5977587,0.16002473,0.18964347,0.39335647,0.42268008,0.026016682,0.027778268,0.007687509,0.008122355
28,626.4137,624.1716,631.0244,625.6842,654.2949,626.5282,679.2125,630.5339,701.10645,638.2088,685.8052,628.0988,666.0695,601.3492,646.4933,602.6362,646.0062,369.65155,363.35638,363.0772,351.84985,350.62274,374.4522,370.69183,461.26428,455.5464,463.38318,468.82825,496.0857,491.6557,482.25226,476.89624,494.94434,489.9679,0.3387857,0.28858304,0.090880364,0.77620935,0.19180751,0.909091,0.86498,0.61701095,0.48217854,0.3184808,0.25389296,0.33096012,0.3071783,0.025334775,0.0218772,0.007276237,0.0066457093
29,629.4867,636.728,623.83704,657.3131,617.2699,701.3751,596.50854,732.8572,577.05927,689.6403,596.5257,679.552,611.74634,666.5641,591.71436,653.5744,608.6164,373.42828,365.36316,365.4018,353.10468,352.78113,375.10376,371.57202,461.86414,453.01367,468.11572,462.4015,497.2129,494.11102,493.56305,490.5216,497.85852,495.0747,0.8299302,0.8612113,0.6183411,0.66164076,0.14988977,0.90217566,0.7972549,0.76133907,0.43153593,0.55616665,0.30694032,0.35785913,0.27584958,0.022591114,0.014234811,0.006319523,0.00449571
