frame,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,kp_0_conf,kp_1_conf,kp_2_conf,kp_3_conf,kp_4_conf,kp_5_conf,kp_6_conf,kp_7_conf,kp_8_conf,kp_9_conf,kp_10_conf,kp_11_conf,kp_12_conf,kp_13_conf,kp_14_conf,kp_15_conf,kp_16_conf
20,630.00684,643.95166,615.1757,663.6055,594.5185,690.61456,567.1221,692.01697,551.8617,653.76904,573.5028,665.2617,580.3274,662.0039,558.40326,643.0879,592.3797,336.86798,322.96588,324.64777,332.46967,336.27563,406.79376,407.38892,490.92065,485.11896,545.79785,556.02765,577.6272,578.16394,608.19385,612.6865,617.6359,628.0138,0.9883002,0.96596813,0.9747716,0.7365323,0.84412,0.9894608,0.99197674,0.9291152,0.94854844,0.8771601,0.8993163,0.878058,0.88036484,0.19067395,0.19509065,0.026845276,0.027684003
21,630.28485,644.1861,615.3468,663.86115,594.6561,690.8423,567.5966,692.1335,552.2438,653.8485,573.631,665.20996,580.44946,661.9595,558.4536,643.1073,592.1398,336.85443,322.83667,324.69684,332.273,336.4803,406.4419,407.45624,490.6671,485.22345,546.1421,556.0898,576.3207,577.0082,605.6899,610.45703,616.322,626.7638,0.988402,0.96613955,0.974889,0.7366669,0.8445456,0.98966324,0.9921161,0.93032825,0.9491844,0.8790115,0.9005486,0.8817849,0.8837937,0.20062807,0.20469418,0.028764218,0.029586822
22,630.3537,644.2149,615.3333,664.0669,594.77356,690.9471,568.12933,691.8413,552.1934,653.91394,573.50867,664.98126,580.46216,661.53125,558.6556,643.3117,592.0986,337.1864,323.0913,325.1576,332.40625,337.05432,406.35736,407.2918,490.63275,484.19482,545.9843,554.818,576.0541,576.73,606.8464,611.7948,616.12213,626.8374,0.9883964,0.9663136,0.9747639,0.73835516,0.84264576,0.9895632,0.99204445,0.9302826,0.94918954,0.87937665,0.9009521,0.8810784,0.8831738,0.19633907,0.20050561,0.027747482,0.028566629
23,630.2192,644.17584,615.2493,664.1753,594.8104,691.00146,568.2921,691.96533,552.54626,653.88666,573.5943,665.3299,580.82874,662.1175,558.4479,644.43134,592.4119,337.26862,323.1291,325.20093,332.51245,337.12634,406.34583,407.35962,490.62854,484.30328,545.54956,554.8731,574.63153,575.3554,600.9297,606.0244,610.8225,621.8522,0.988399,0.96654195,0.9745679,0.7406473,0.8403438,0.98953116,0.9920111,0.930282,0.9488884,0.88026667,0.9010679,0.8793179,0.88138855,0.20018542,0.20408815,0.0291515,0.029983997
24,630.1272,644.1301,615.14667,664.3298,594.83594,691.419,568.27795,691.7379,552.5256,653.89594,573.9907,665.37585,580.6131,661.7015,558.98456,643.0984,593.4967,337.51843,323.31683,325.4756,332.46198,337.24396,406.01123,407.09406,490.66113,484.36084,545.42456,554.86304,576.28613,577.00244,604.9757,609.8996,613.8766,624.5528,0.98834306,0.96665126,0.9743178,0.74332726,0.83843696,0.9895137,0.99192774,0.9299642,0.94812787,0.8788379,0.8991149,0.87766933,0.87939906,0.19169384,0.19515485,0.027210236,0.027974308
25,630.1987,644.4866,615.108,665.1826,594.80493,691.8545,568.732,691.80664,552.984,653.99023,574.3287,665.281,580.4334,661.3306,557.9531,642.7839,592.53705,338.45587,324.0124,326.28308,332.95337,337.89838,406.05646,407.3816,490.46936,484.53473,545.0836,555.3179,575.4839,576.2312,598.9724,603.9814,608.512,619.2222,0.98833513,0.96743983,0.9739531,0.7486063,0.83248097,0.98931503,0.9914987,0.9292076,0.9450586,0.87852436,0.8949945,0.87182736,0.8719516,0.19103873,0.19178614,0.028091818,0.02855891
26,630.10516,644.30273,615.2365,665.06274,595.3719,692.12634,569.1879,692.06537,553.4275,653.7563,574.7725,665.46344,580.93756,660.88837,558.6018,641.8586,594.74414,340.22192,325.5791,327.8772,333.56537,338.55573,406.0354,407.49017,491.0655,485.23376,545.1184,555.34784,574.9558,575.66504,600.59973,605.3713,608.10144,618.7498,0.98811746,0.9675441,0.97308016,0.75724924,0.8263514,0.98937875,0.9916075,0.92953515,0.9453813,0.8786858,0.8948958,0.8728733,0.87333494,0.19016501,0.19158444,0.027712315,0.028331667
27,629.38745,643.7491,614.75616,664.8086,595.21344,692.2222,569.17584,692.45264,553.5401,653.6147,575.357,665.48236,580.6921,659.96027,557.9754,642.17004,593.53326,340.27032,326.04187,328.13544,334.688,339.20667,406.62897,408.23395,490.63733,486.23157,544.6811,555.9424,577.6532,578.15314,606.97375,610.79346,613.0615,621.76917,0.98812485,0.9680936,0.9726731,0.7638521,0.8213744,0.9893543,0.99153626,0.93027556,0.94531775,0.879595,0.8944081,0.8738478,0.87389517,0.18267456,0.18363228,0.02563268,0.02622366
28,628.78625,643.34924,614.14355,664.9553,594.9601,692.50104,569.61694,692.5686,554.6747,654.0653,575.8337,665.6349,580.7905,660.43005,558.53564,642.17114,592.3691,340.4298,326.32007,328.6394,335.84106,340.75446,407.44006,410.23132,490.51703,488.57886,544.1072,556.9684,577.7999,578.7239,605.10706,609.38574,612.82556,621.2229,0.988165,0.9689219,0.97235596,0.7700313,0.8165412,0.9893728,0.99122036,0.93011075,0.9421616,0.8786169,0.8891931,0.873466,0.8713902,0.18830502,0.18634775,0.027118832,0.027411312
29,629.069,643.5831,614.25616,665.1534,595.0076,693.5374,570.2441,692.9252,555.51196,653.8538,575.9137,667.4957,582.41614,659.38055,558.19446,639.8778,592.8472,341.0025,327.0315,329.56702,336.92633,342.38983,407.8833,411.2478,491.28442,489.6765,544.8214,557.1607,578.36847,579.38525,596.0532,600.5266,605.9064,613.9184,0.9881165,0.96902144,0.9720622,0.77096605,0.81562483,0.98934734,0.99111307,0.92887545,0.94013053,0.8756703,0.8852285,0.86541563,0.86303055,0.18654051,0.18337315,0.028219163,0.028360516
