frame,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,kp_0_conf,kp_1_conf,kp_2_conf,kp_3_conf,kp_4_conf,kp_5_conf,kp_6_conf,kp_7_conf,kp_8_conf,kp_9_conf,kp_10_conf,kp_11_conf,kp_12_conf,kp_13_conf,kp_14_conf,kp_15_conf,kp_16_conf
20,626.11475,628.5051,620.6714,641.40955,614.04114,691.8978,602.4675,796.62524,651.422,681.6767,674.22723,715.3327,656.17285,709.0388,669.829,709.15155,725.36096,416.05188,409.101,411.46588,389.30377,397.72803,375.42993,379.0244,434.8507,427.44165,439.19214,437.784,408.75232,408.03766,417.86047,412.44354,444.78308,425.02466,0.30786055,0.5020145,0.103005916,0.44663963,0.031172961,0.7851758,0.15430075,0.95020676,0.09495342,0.928813,0.21452847,0.3817499,0.11681914,0.09464699,0.01920408,0.029186457,0.00882858
21,624.08154,626.43274,619.69806,639.7083,615.53467,689.6926,605.7535,796.24365,659.8435,681.46075,677.59406,715.10114,659.0503,711.3013,674.351,712.6365,726.84686,417.29688,410.90326,412.88647,391.9895,399.52588,377.03583,380.2743,434.083,426.9486,441.06482,439.97668,404.53864,403.62482,414.27435,408.76556,439.3084,419.36847,0.31008986,0.49158368,0.09986892,0.4567131,0.031374723,0.79523754,0.17417634,0.9508854,0.11166176,0.9311522,0.24352852,0.41473836,0.13755664,0.11125669,0.024556667,0.034972638,0.011203498
22,624.03156,626.9581,619.577,640.9314,614.877,690.4622,603.5364,796.9631,655.4224,681.272,674.3467,714.59534,656.57776,707.28143,669.19763,708.2407,723.48834,420.15234,413.81458,415.5086,394.79785,401.61377,379.11597,380.94238,434.56647,425.64087,441.02704,441.84277,405.5346,403.96246,416.11835,409.71985,440.64807,419.43793,0.2985992,0.49282315,0.09663051,0.4604738,0.029659837,0.7851131,0.15998593,0.94956255,0.10130769,0.92919743,0.2261692,0.41452402,0.13493228,0.11550063,0.024583459,0.03763339,0.011707932
23,624.40393,627.01514,620.12177,640.7127,616.00995,690.23236,605.52264,796.3978,657.67584,680.979,674.35144,714.0345,657.49554,709.1221,672.06885,710.1479,725.0723,420.39716,414.0357,415.9054,394.78052,402.06476,378.92578,381.57385,434.16162,426.17505,442.3213,442.23334,403.62988,402.38806,415.39148,409.463,438.6156,418.2224,0.30281985,0.49264506,0.09643388,0.46664762,0.029888302,0.793049,0.1689061,0.9511343,0.10777894,0.93131876,0.23726761,0.42822883,0.1428177,0.120299935,0.02625361,0.03870088,0.012241334
24,623.86127,626.6118,618.8494,640.6434,613.3529,691.3386,602.06525,797.255,651.345,681.5326,671.8524,712.5944,653.37683,706.0409,666.876,705.8651,721.7178,420.4524,413.3853,415.61267,392.88953,401.078,377.77838,381.41235,435.77148,429.04626,443.05865,442.43237,410.8722,410.00494,418.9768,413.58466,444.93152,425.63574,0.29644608,0.48774606,0.09893581,0.44466943,0.030420452,0.7734982,0.15040672,0.94781,0.09776822,0.92514944,0.21519038,0.36087406,0.11047435,0.08115548,0.016750187,0.024236053,0.0074566603
25,621.3464,625.1143,615.8472,641.3908,609.63776,693.081,596.74615,799.3356,643.10443,682.38306,669.5792,714.9755,650.9977,705.7069,662.8341,703.9438,719.94574,423.8037,416.4549,418.528,395.5725,403.3089,379.7257,382.35577,436.05566,428.36963,443.42902,443.56683,411.8612,410.72095,422.19867,416.41992,448.48138,428.52136,0.29847005,0.5031618,0.10355994,0.44562778,0.030345976,0.7553086,0.14023739,0.9420607,0.090370804,0.91743344,0.20038351,0.3393377,0.10259277,0.07259545,0.014897704,0.021599263,0.0066408515
26,615.6528,620.0844,610.14404,639.41296,605.8236,693.7475,596.04565,800.2954,643.4715,681.29114,669.09534,721.3805,656.02905,705.5593,661.6228,705.1498,720.1765,428.37946,420.8095,422.87756,399.596,407.33948,383.22546,384.25812,437.5832,426.71588,444.5443,445.30695,410.78412,408.55646,424.82532,417.3047,449.34174,426.52948,0.32186908,0.560678,0.10447627,0.5100632,0.026771516,0.75625974,0.13692415,0.9409357,0.08419877,0.91633725,0.19361073,0.33187944,0.09938726,0.07068685,0.014167488,0.020879805,0.006337911
27,616.9795,621.7405,611.0721,640.9428,605.27704,694.9268,593.42426,801.5842,639.2749,681.3153,668.1818,720.1067,652.3559,701.31305,655.87665,699.6749,715.78,429.37457,421.73462,423.68146,400.40717,407.81726,383.813,384.20532,438.693,427.23956,443.03528,445.44507,412.4237,409.9137,427.12146,419.26202,453.56586,430.31427,0.30431342,0.54116744,0.10451001,0.4795043,0.027556896,0.7279043,0.12211773,0.93211484,0.07496348,0.9052918,0.17440382,0.30740386,0.090218484,0.06638381,0.013147265,0.02038011,0.006129414
28,616.3701,621.1074,610.3916,640.615,604.84375,694.9392,593.9841,801.1373,640.09296,682.62775,669.15967,721.28033,653.8007,702.1702,656.89343,701.1587,716.8107,430.49878,422.8246,424.8224,401.2931,408.8045,384.3888,384.5642,438.75366,426.87823,443.32642,445.88556,411.91632,409.28125,428.27472,420.1482,453.81055,430.11176,0.31068325,0.5504543,0.10606894,0.48882383,0.02761802,0.73245066,0.12531641,0.9329477,0.07670748,0.90636516,0.1778374,0.31569558,0.09384465,0.068381935,0.013627201,0.02080229,0.0062841773
29,616.6967,622.0512,610.68176,641.9661,604.2817,695.08325,591.0465,801.29,635.7731,682.91846,666.59155,716.8017,647.3402,700.351,653.4754,697.68536,713.3426,431.19653,423.52313,425.21417,401.97455,408.72833,384.61194,384.45953,438.94135,427.50366,443.87915,447.06268,411.88257,409.30048,425.74487,417.96423,451.27643,428.3344,0.2898206,0.52640826,0.10198638,0.4658067,0.02675116,0.7059502,0.11161381,0.9247327,0.068599194,0.89564455,0.15999922,0.29178488,0.08442387,0.06470302,0.01290831,0.021033108,0.006352544
