frame,kp_0_x,kp_1_x,kp_2_x,kp_3_x,kp_4_x,kp_5_x,kp_6_x,kp_7_x,kp_8_x,kp_9_x,kp_10_x,kp_11_x,kp_12_x,kp_13_x,kp_14_x,kp_15_x,kp_16_x,kp_0_y,kp_1_y,kp_2_y,kp_3_y,kp_4_y,kp_5_y,kp_6_y,kp_7_y,kp_8_y,kp_9_y,kp_10_y,kp_11_y,kp_12_y,kp_13_y,kp_14_y,kp_15_y,kp_16_y,kp_0_conf,kp_1_conf,kp_2_conf,kp_3_conf,kp_4_conf,kp_5_conf,kp_6_conf,kp_7_conf,kp_8_conf,kp_9_conf,kp_10_conf,kp_11_conf,kp_12_conf,kp_13_conf,kp_14_conf,kp_15_conf,kp_16_conf
24,631.2039,644.2092,615.31885,661.96436,594.6627,687.14233,566.04004,718.0785,497.37738,618.759,483.94342,640.593,563.7812,613.8033,536.40295,644.70044,588.9751,333.42914,319.13208,321.79224,327.2987,333.4538,428.28174,392.2249,516.31177,350.22845,529.82996,246.07349,605.3496,593.3045,604.5415,622.1569,595.7727,640.1039,0.98827934,0.9625447,0.9712028,0.7211002,0.7629626,0.972672,0.99342775,0.888625,0.98036206,0.9183342,0.97974753,0.67933697,0.79833794,0.03272921,0.06079197,0.0023207366,0.0036822557
25,631.12,644.1577,615.22876,661.9786,594.5526,687.03284,565.84375,717.9902,497.37244,617.8951,484.30585,639.67554,562.7825,612.94104,535.2179,644.557,588.18805,333.26794,318.97717,321.65063,327.17664,333.34845,428.12476,391.79938,516.4985,349.57532,529.8497,245.66693,604.5131,592.3414,603.3554,620.97675,594.9955,639.6039,0.9882742,0.96294856,0.9710361,0.7239298,0.7602033,0.97255516,0.99324787,0.8886018,0.9797335,0.91836435,0.97922695,0.67662954,0.79452205,0.032763183,0.060177892,0.002338767,0.0036793053
26,631.3007,644.31055,615.3386,662.117,594.6133,687.1112,566.406,718.0829,497.41644,618.029,484.34634,640.70496,564.14453,613.2279,536.4568,644.9646,588.6034,333.3272,319.0313,321.7298,327.17175,333.42908,428.0691,391.92102,516.4131,349.89276,529.82556,245.93713,605.6266,593.52594,604.6747,622.2441,596.4052,640.67737,0.98826736,0.962721,0.9710983,0.72154725,0.7607877,0.9723459,0.99329686,0.88813114,0.98005545,0.91834974,0.9795708,0.6760311,0.79535776,0.03238514,0.05993873,0.0022994876,0.003638506
27,631.5079,644.4814,615.5286,662.1974,594.6972,687.1283,566.43823,717.82587,497.39212,618.0591,484.20566,640.9133,564.17944,614.18256,536.2217,646.1003,587.808,333.25647,318.9641,321.66296,327.07837,333.33594,427.83466,391.67114,516.2385,349.6886,529.6752,245.70245,605.43005,593.3452,605.00916,622.5232,596.8514,640.9718,0.98831975,0.96277285,0.97131765,0.7198732,0.762373,0.9723954,0.9932834,0.8887099,0.9800836,0.9185957,0.97959286,0.6788762,0.7970859,0.03274399,0.060443014,0.002322048,0.0036673248
28,631.4939,644.5061,615.4421,662.4302,594.5344,687.48596,566.39136,718.18726,496.84677,618.6276,483.95038,641.33154,564.47064,615.0283,537.21545,646.8425,589.10895,333.4502,319.01434,321.7472,326.7547,333.05743,427.8205,391.3554,516.91223,349.12756,530.4364,243.99847,605.83325,593.664,608.8721,626.131,600.97876,644.64453,0.9884042,0.9635416,0.9713202,0.7243745,0.7601305,0.9728411,0.99319065,0.88986844,0.9795482,0.9186394,0.9790778,0.6859416,0.799996,0.033765286,0.06154877,0.0023704171,0.0037147403
29,631.41644,644.4347,615.3334,662.4515,594.4834,687.4078,566.5939,718.0101,496.8758,618.3926,484.09058,640.9933,564.292,614.34894,536.6664,646.7218,588.32404,333.42487,318.9572,321.774,326.737,333.21613,427.8307,391.4156,516.8175,348.78888,530.6272,243.74731,605.5421,593.36865,608.8548,626.19916,601.2738,644.9887,0.9884162,0.96362656,0.9712815,0.72489244,0.7590172,0.9727616,0.9931767,0.8900533,0.9796035,0.9190661,0.97918534,0.68674046,0.80064386,0.03392914,0.06182781,0.0023769736,0.0037242174
30,632.18567,644.9038,616.6652,660.89,594.07733,687.8447,564.448,715.79175,501.1677,620.43616,487.6457,634.26227,554.6293,603.1097,520.91266,627.68164,571.00085,333.44128,319.2246,321.67993,328.04443,333.12463,425.53436,386.89496,507.6079,347.25085,545.10046,246.10089,596.7836,580.42126,577.9746,586.70575,572.3925,600.64355,0.9864778,0.9657253,0.97139496,0.7331157,0.75622827,0.9724976,0.9854668,0.8775916,0.9491405,0.88968635,0.954147,0.6379156,0.7093682,0.04373786,0.059690803,0.004572481,0.0056417584
31,632.17053,644.91,616.6458,660.9529,594.0891,687.9589,564.3434,715.8185,501.08337,620.308,487.56293,634.0074,554.1653,603.0753,520.43066,627.86475,570.5553,333.31995,319.12152,321.60364,328.0636,333.20654,425.53485,387.0603,507.50928,347.443,544.87146,245.94427,596.9694,580.6616,578.2457,587.0753,572.5227,600.79016,0.98646,0.965633,0.9713383,0.73268217,0.7559359,0.9724681,0.9854857,0.87794197,0.949396,0.8901961,0.954406,0.6385364,0.71000046,0.0435414,0.05945772,0.004532188,0.0055936277
32,632.0441,644.8319,616.55646,660.94824,594.0653,687.8752,564.1697,715.6725,501.1139,619.9043,487.44275,633.4038,553.47144,602.3851,519.5452,626.7614,569.52216,333.40527,319.20782,321.65857,328.14343,333.1892,425.55493,386.80908,507.74078,347.2705,545.01245,246.57227,596.7294,580.28,577.35913,586.1394,571.4994,600.0911,0.98639196,0.96564555,0.97110796,0.73404753,0.75409293,0.9724877,0.9853761,0.87796205,0.94884205,0.8898765,0.953822,0.638471,0.7092188,0.043890327,0.059702545,0.0046007037,0.0056622326
33,632.09845,644.8958,616.5886,661.08453,594.1033,688.0546,564.5347,715.6135,501.4614,619.4367,487.71893,633.9545,554.18066,602.8635,520.4868,627.41125,570.5665,333.39905,319.1983,321.66895,328.10602,333.19965,425.53308,386.8949,507.86194,347.6501,545.1047,246.69464,596.7355,580.2986,577.4752,586.0959,571.90094,600.07935,0.9864197,0.9657296,0.971154,0.73439974,0.7542206,0.9725026,0.98542136,0.8778157,0.9489462,0.8898653,0.9539777,0.6384375,0.7095062,0.044023275,0.059983075,0.004617274,0.0056920648
